"LineID","DocID","DivisionID","GLCodeID","AdjustDate","Debit","Credit","Notes","EntityID","IsFromAccount","ProjectID","AssetID","ReportCategoryID","Currency","ROE"
"64","33","5830","459","2012-02-01 12:00:00","0.0000","10000.0000","TEST","66830","1","","","","",""
"65","33","5830","470","2012-02-01 12:00:00","10000.0000","0.0000","TEST","66833","0","","","","",""
"66","34","0","529","2012-02-22 00:00:00","500.0000","0.0000","","","0","","","","",""
"67","34","0","531","2012-02-22 00:00:00","0.0000","500.0000","","","0","","","","",""
"68","34","0","509","2012-02-22 00:00:00","1000.0000","0.0000","","","0","","","","",""
"69","34","0","511","2012-02-22 00:00:00","0.0000","1000.0000","","","0","","","","",""
"70","34","0","486","2012-02-22 00:00:00","50.0000","0.0000","5","","0","","","","",""
"71","34","0","486","2012-02-22 00:00:00","0.0000","50.0000","6","","0","","","","",""
"72","34","0","529","2012-02-22 00:00:00","5.0000","0.0000","","","0","","","","",""
"73","34","0","529","2012-02-22 00:00:00","0.0000","5.0000","","","0","","","","",""
"74","34","0","529","2012-02-22 00:00:00","5.0000","0.0000","","","0","","","","",""
"75","34","0","529","2012-02-22 00:00:00","0.0000","5.0000","","","0","","","","",""
"76","34","0","528","2012-02-22 00:00:00","5.0000","0.0000","11","","0","","","","",""
"77","34","0","529","2012-02-22 00:00:00","0.0000","5.0000","12","","0","","","","",""
"78","34","0","529","2012-02-22 00:00:00","5.0000","0.0000","13","","0","","","","",""
"79","34","0","529","2012-02-22 00:00:00","0.0000","5.0000","14","","0","","","","",""
"80","34","0","529","2012-02-22 00:00:00","5.0000","0.0000","15","","0","","","","",""
"81","34","0","529","2012-02-22 00:00:00","0.0000","5.0000","16","","0","","","","",""
"82","34","0","529","2012-02-22 00:00:00","5.0000","0.0000","17","","0","","","","",""
"83","34","0","529","2012-02-22 00:00:00","0.0000","5.0000","18","","0","","","","",""
"84","34","0","529","2012-02-22 00:00:00","5.0000","0.0000","19","","0","","","","",""
"85","34","0","529","2012-02-22 00:00:00","0.0000","5.0000","20","","0","","","","",""
"86","34","0","529","2012-02-22 00:00:00","5.0000","0.0000","21","","0","","","","",""
"87","34","0","529","2012-02-22 00:00:00","0.0000","5.0000","22","","0","","","","",""
"88","34","0","529","2012-02-22 00:00:00","5.0000","0.0000","23","","0","","","","",""
"89","34","0","529","2012-02-22 00:00:00","0.0000","5.0000","24","","0","","","","",""
"90","34","0","529","2012-02-22 00:00:00","5.0000","0.0000","25","","0","","","","",""
"91","34","0","529","2012-02-22 00:00:00","0.0000","5.0000","26","","0","","","","",""
"92","34","0","529","2012-02-22 00:00:00","0.0000","10.0000","27","","0","","","","",""
"93","34","0","529","2012-02-22 00:00:00","10.0000","0.0000","28","","0","","","","",""
"94","35","0","529","2012-02-22 00:00:00","500.0000","0.0000","","","0","","","","",""
"95","35","0","531","2012-02-22 00:00:00","0.0000","500.0000","","","0","","","","",""
"96","35","0","509","2012-02-22 00:00:00","1000.0000","0.0000","","","0","","","","",""
"97","35","0","511","2012-02-22 00:00:00","0.0000","1000.0000","","","0","","","","",""
"98","35","0","486","2012-02-22 00:00:00","50.0000","0.0000","5","","0","","","","",""
"99","35","0","486","2012-02-22 00:00:00","0.0000","50.0000","6","","0","","","","",""
"100","35","0","529","2012-02-22 00:00:00","5.0000","0.0000","","","0","","","","",""
"101","35","0","529","2012-02-22 00:00:00","0.0000","5.0000","","","0","","","","",""
"102","35","0","529","2012-02-22 00:00:00","5.0000","0.0000","","","0","","","","",""
"103","35","0","529","2012-02-22 00:00:00","0.0000","5.0000","","","0","","","","",""
"104","35","0","529","2012-02-22 00:00:00","5.0000","0.0000","11","","0","","","","",""
"105","35","0","529","2012-02-22 00:00:00","0.0000","5.0000","12","","0","","","","",""
"106","35","0","529","2012-02-22 00:00:00","5.0000","0.0000","13","","0","","","","",""
"107","35","0","529","2012-02-22 00:00:00","0.0000","5.0000","14","","0","","","","",""
"108","35","0","529","2012-02-22 00:00:00","5.0000","0.0000","15","","0","","","","",""
"109","35","0","529","2012-02-22 00:00:00","0.0000","5.0000","16","","0","","","","",""
"110","35","0","529","2012-02-22 00:00:00","5.0000","0.0000","17","","0","","","","",""
"111","35","0","529","2012-02-22 00:00:00","0.0000","5.0000","18","","0","","","","",""
"112","35","0","529","2012-02-22 00:00:00","5.0000","0.0000","19","","0","","","","",""
"113","35","0","529","2012-02-22 00:00:00","0.0000","5.0000","20","","0","","","","",""
"114","35","0","529","2012-02-22 00:00:00","5.0000","0.0000","21","","0","","","","",""
"115","35","0","529","2012-02-22 00:00:00","0.0000","5.0000","22","","0","","","","",""
"116","35","0","529","2012-02-22 00:00:00","5.0000","0.0000","23","","0","","","","",""
"117","35","0","529","2012-02-22 00:00:00","0.0000","5.0000","24","","0","","","","",""
"118","35","0","529","2012-02-22 00:00:00","5.0000","0.0000","25","","0","","","","",""
"119","35","0","529","2012-02-22 00:00:00","0.0000","5.0000","26","","0","","","","",""
"120","35","0","529","2012-02-22 00:00:00","0.0000","10.0000","27","","0","","","","",""
"121","35","0","529","2012-02-22 00:00:00","10.0000","0.0000","28","","0","","","","",""
"122","36","5830","529","2012-02-23 00:00:00","500.0000","0.0000","GL Ref 1","","0","","","","",""
"123","36","5947","531","2012-02-23 00:00:00","0.0000","500.0000","GL Ref 2","","0","","","","",""
"124","37","5830","459","2012-02-01 12:00:00","0.0000","1000.0000","TEST 1","66828","1","","","","",""
"125","37","5830","529","2012-02-01 12:00:00","1000.0000","0.0000","TEST 1","","0","","","","",""
"126","38","5830","459","2012-03-16 12:00:00","0.0000","1140.0000","test","66828","1","","","","",""
"127","38","5830","535","2012-03-16 12:00:00","1000.0000","0.0000","test","","0","","","","",""
"128","38","5830","486","2012-03-16 12:00:00","140.0000","0.0000","test","","0","","","","",""
"129","39","0","459","2012-03-19 12:00:00","570.0000","0.0000","","66828","1","","","","",""
"130","39","0","535","2012-03-19 12:00:00","0.0000","500.0000","","","0","","","","",""
"131","39","0","486","2012-03-19 12:00:00","0.0000","70.0000","","","0","","","","",""
