"AddressLinkID","CountryID","CodeID","RegionID","CityID","Code"
"4","5823","6519","5875","6388",""
"5","5823","6519","5875","6394",""
"6","5823","6519","5875","6399",""
"7","5823","6519","5875","6401",""
"8","5823","6519","5875","6416",""
"9","5823","6519","5875","6417",""
"10","5823","6519","5875","6418",""
"11","5823","6519","5875","6421",""
"12","5823","6519","5875","6439",""
"13","5823","6519","5875","6452",""
"14","5823","6519","5875","6459",""
"15","5823","6519","5875","6468",""
"17","5823","6519","5875","6479",""
"18","5823","6519","5875","6482",""
"20","5823","6519","5875","6492",""
"21","5823","6519","5875","6493",""
"22","5823","6519","5875","6518",""
"23","5823","6520","5875","6397",""
"24","5823","6521","5875","6456",""
"25","5823","6521","5875","6469",""
"26","5823","6522","5875","6396",""
"27","5823","6523","5875","6512",""
"28","5823","6524","5875","6430",""
"29","5823","6525","5875","6428",""
"30","5823","6526","5875","6423",""
"31","5823","6527","5875","6379",""
"32","5823","6528","5875","6510",""
"33","5823","6529","5875","6380",""
"34","5823","6530","5875","6390",""
"35","5823","6531","5875","6406",""
"36","5823","6532","5875","6511",""
"37","5823","6533","5875","6512",""
"38","5823","6534","5875","6386",""
"39","5823","6535","5875","6405",""
"40","5823","6536","5875","6408",""
"41","5823","6536","5875","6447",""
"42","5823","6537","5875","6404",""
"43","5823","6538","5875","6407",""
"44","5823","6539","5875","6447",""
"45","5823","6540","5875","6447",""
"46","5823","6540","5875","6448",""
"47","5823","6540","5875","6508",""
"48","5823","6541","5875","6426",""
"49","5823","6541","5875","6429",""
"50","5823","6542","5875","6508",""
"51","5823","6543","5875","6412",""
"52","5823","6544","5875","6505",""
"53","5823","6545","5875","6446",""
"54","5823","6546","5875","6450",""
"55","5823","6547","5875","6449",""
"56","5823","6548","5875","6437",""
"57","5823","6549","5875","6383",""
"58","5823","6550","5875","6384",""
"59","5823","6550","5875","6385",""
"60","5823","6551","5875","6387",""
"61","5823","6552","5875","6387",""
"62","5823","6552","5875","6389",""
"63","5823","6553","5875","6391",""
"64","5823","6554","5875","6392",""
"65","5823","6554","5875","6394",""
"66","5823","6555","5875","6398",""
"67","5823","6556","5875","6410",""
"68","5823","6557","5875","6504",""
"69","5823","6558","5875","6413",""
"70","5823","6558","5875","6414",""
"71","5823","6558","5875","6415",""
"72","5823","6559","5875","6425",""
"73","5823","6560","5875","6427",""
"74","5823","6561","5875","6431",""
"75","5823","6562","5875","6432",""
"76","5823","6563","5875","6434",""
"77","5823","6564","5875","6436",""
"78","5823","6565","5875","6516",""
"79","5823","6566","5875","6424",""
"80","5823","6567","5875","6422",""
"81","5823","6567","5875","6480",""
"82","5823","6568","5875","6422",""
"83","5823","6568","5875","6442",""
"84","5823","6569","5875","6402",""
"85","5823","6569","5875","6417",""
"86","5823","6569","5875","6419",""
"87","5823","6569","5875","6420",""
"88","5823","6570","5875","6480",""
"89","5823","6571","5875","6470",""
"90","5823","6572","5875","6399",""
"91","5823","6572","5875","6445",""
"92","5823","6572","5875","6452",""
"93","5823","6573","5875","6452",""
"94","5823","6574","5875","6378",""
"95","5823","6574","5875","6451",""
"96","5823","6574","5875","6452",""
"97","5823","6574","5875","6454",""
"98","5823","6574","5875","6459",""
"99","5823","6574","5875","6514",""
"100","5823","6575","5875","6459",""
"101","5823","6576","5875","6433",""
"102","5823","6577","5875","6395",""
"103","5823","6578","5875","6452",""
"104","5823","6578","5875","6457",""
"105","5823","6578","5875","6458",""
"106","5823","6578","5875","6459",""
"107","5823","6578","5875","6460",""
"108","5823","6578","5875","6461",""
"109","5823","6578","5875","6462",""
"110","5823","6578","5875","6463",""
"111","5823","6578","5875","6464",""
"112","5823","6579","5875","6452",""
"113","5823","6579","5875","6514",""
"114","5823","6579","5875","6515",""
"115","5823","6580","5875","6394",""
"116","5823","6581","5875","6466",""
"117","5823","6582","5875","6417",""
"118","5823","6582","5875","6421",""
"119","5823","6583","5875","6471",""
"120","5823","6584","5875","6455",""
"121","5823","6585","5875","6465",""
"122","5823","6586","5875","6467",""
"123","5823","6587","5875","6473",""
"124","5823","6587","5875","6475",""
"125","5823","6588","5875","6476",""
"126","5823","6589","5875","6400",""
"127","5823","6590","5875","6479",""
"128","5823","6591","5875","6483",""
"129","5823","6592","5875","6484",""
"130","5823","6593","5875","6394",""
"131","5823","6593","5875","6485",""
"132","5823","6593","5875","6492",""
"133","5823","6594","5875","6488",""
"134","5823","6594","5875","6489",""
"135","5823","6594","5875","6492",""
"136","5823","6594","5875","6513",""
"137","5823","6595","5875","6494",""
"138","5823","6596","5875","6498",""
"139","5823","6597","5875","6503",""
"140","5823","6598","5875","6495",""
"141","5823","6599","5875","6511",""
"142","5823","6600","5875","6499",""
"143","5823","6601","5875","6495",""
"144","5823","6601","5875","6496",""
"145","5823","6601","5875","6497",""
"146","5823","6602","5875","6490",""
"147","5823","6602","5875","6491",""
"148","5823","6603","5875","6481",""
"149","5823","6603","5875","6482",""
"150","5823","6604","5875","6500",""
"151","5823","6604","5875","6501",""
"152","5823","6604","5875","6502",""
"153","5823","6605","5875","6438",""
"154","5823","6605","5875","6439",""
"155","5823","6605","5875","6440",""
"156","5823","6605","5875","6441",""
"157","5823","6606","5875","6393",""
"158","5823","6607","5875","6486",""
"159","5823","6607","5875","6487",""
"160","5823","6608","5875","6507",""
"161","5823","6609","5875","6478",""
"162","5823","6610","5875","6507",""
"163","5823","6611","5875","6411",""
"164","5823","6612","5875","6506",""
"165","5823","6613","5875","6452",""
"166","5823","6613","5875","6472",""
"167","5823","6613","5875","6477",""
"168","5823","6614","5875","6403",""
"169","5823","6615","5875","6470",""
"170","5823","6616","5875","6403",""
"171","5823","6617","5875","6388",""
"172","5823","6617","5875","6452",""
"173","5823","6617","5875","6453",""
"174","5823","6617","5875","6472",""
"175","5823","6618","5875","6452",""
"176","5823","6619","5875","6417",""
"177","5823","6620","5875","6517",""
"178","5823","6621","5875","6443",""
"179","5823","6622","5875","6435",""
"180","5823","6623","5875","6396",""
"181","5823","6624","5875","6509",""
"182","5823","6625","5875","6444",""
"183","5823","6626","5875","6409",""
"184","5823","6627","5875","6382",""
