"PublicHolidayID","Description","Date","CompanyOpen","thisYear","CountryID"
"7","New Years Day","2007-01-01 00:00:00","0","0",""
"8","Chrismas Day","2007-12-25 00:00:00","0","0",""
"9","Boxing Day","2007-12-26 00:00:00","0","0",""
"11","dsfggg","2005-03-16 00:00:00","0","0",""
"15","St. Kurts Day","2007-04-08 00:00:00","0","0",""
"16","Family Day","2007-04-09 00:00:00","0","0",""
"17","Freedom Day","2007-04-27 00:00:00","0","0",""
"18","Workers Day","2007-05-01 00:00:00","0","0",""
"19","Youth Day","2007-06-16 00:00:00","0","0",""
"20","Womans Day","2007-08-09 00:00:00","0","0",""
"21","Heritage Day","2007-09-24 00:00:00","0","0",""
"32","New Years Day","2006-01-01 00:00:00","0","0",""
"33","Chrismas Day","2006-12-25 00:00:00","0","0",""
"34","Boxing Day","2006-12-26 00:00:00","0","0",""
"35","Good Friday","2006-04-06 00:00:00","0","0",""
"36","Family Day","2006-04-09 00:00:00","0","0",""
"37","Freedom Day","2006-04-27 00:00:00","0","0",""
"38","Workers Day","2006-05-01 00:00:00","0","0",""
"39","Youth Day","2006-06-16 00:00:00","0","0",""
"40","Womans Day","2006-08-09 00:00:00","0","0",""
"41","Heritage Day","2006-09-24 00:00:00","0","0",""
"42","New Years Day","2008-01-01 00:00:00","0","0",""
"43","Chrismas Day","2008-12-25 00:00:00","0","0",""
"44","Boxing Day","2008-12-26 00:00:00","0","0",""
"45","Good Friday","2008-04-06 00:00:00","0","0",""
"46","Family Day","2008-04-09 00:00:00","0","0",""
"47","Freedom Day","2008-04-27 00:00:00","0","0",""
"48","Workers Day","2008-05-01 00:00:00","0","0",""
"49","Youth Day","2008-06-16 00:00:00","0","0",""
"50","Womans Day","2008-08-09 00:00:00","0","0",""
"51","Heritage Day","2008-09-24 00:00:00","0","0",""
"52","New Years Day","2009-01-01 00:00:00","0","0",""
"53","Chrismas Day","2009-12-25 00:00:00","0","0",""
"54","Boxing Day","2009-12-26 00:00:00","0","0",""
"55","Good Friday","2009-04-06 00:00:00","0","0",""
"56","Family Day","2009-04-09 00:00:00","0","0",""
"57","Freedom Day","2009-04-27 00:00:00","0","0",""
"58","Workers Day","2009-05-01 00:00:00","0","0",""
"59","Youth Day","2009-06-16 00:00:00","0","0",""
"60","Womans Day","2009-08-09 00:00:00","0","0",""
"61","Heritage Day","2009-09-24 00:00:00","0","0",""
"62","New Years Day","2011-01-01 00:00:00","0","0",""
"63","Chrismas Day","2011-12-25 00:00:00","0","0",""
"64","Boxing Day","2011-12-26 00:00:00","0","0",""
"65","Good Friday","2011-04-06 00:00:00","0","0",""
"66","Family Day","2011-04-09 00:00:00","0","0",""
"67","Freedom Day","2011-04-27 00:00:00","0","0",""
"68","Workers Day","2011-05-01 00:00:00","0","0",""
"69","Youth Day","2011-06-16 00:00:00","0","0",""
"70","Womans Day","2011-08-09 00:00:00","0","0",""
"71","Heritage Day","2011-09-24 00:00:00","0","0",""
"72","New Years Day","2010-01-01 00:00:00","0","1",""
"73","Chrismas Day","2010-12-25 00:00:00","0","0",""
"74","Boxing Day","2010-12-26 00:00:00","0","0",""
"75","Good Friday","2010-04-06 00:00:00","0","0",""
"76","Family Day","2010-04-09 00:00:00","0","0",""
"77","Freedom Day","2010-04-27 00:00:00","0","0",""
"78","Workers Day","2010-05-01 00:00:00","0","0",""
"79","Youth Day","2010-06-16 00:00:00","0","0",""
"80","Womans Day","2010-08-09 00:00:00","0","0",""
"81","Heritage Day","2010-09-24 00:00:00","0","0",""
"82","Testing Leave Day","2009-08-31 16:34:18","0","1",""
"83","New Years Day","2012-01-01 00:00:00","0","0",""
"84","Chrismas Day","2012-12-25 00:00:00","0","0",""
"85","Boxing Day","2012-12-26 00:00:00","0","0",""
"86","Good Friday","2012-04-06 00:00:00","0","0",""
"87","Family Day","2012-04-09 00:00:00","0","0",""
"88","Freedom Day","2012-04-27 00:00:00","0","0",""
"89","Workers Day","2012-05-01 00:00:00","0","0",""
"90","Youth Day","2012-06-16 00:00:00","0","0",""
"91","Womans Day","2012-08-09 00:00:00","0","0",""
"92","Heritage Day","2012-09-24 00:00:00","0","0",""
